start,end,visitor,from_country,description,source,year,is_hogs,visit_id
2013-01-10,2013-01-11,President Hamid Karzai,Afghanistan,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0001
2013-02-22,2013-02-22,Prime Minister Shinzō Abe,Japan,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0002
2013-03-11,2013-03-12,Sultan Hassinal Bolkiah,Brunei,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0003
2013-03-19,2013-03-20,Prime Minister Enda Kenny,Ireland,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0004
2013-03-28,2013-03-28,President Ernest Koroma,Sierra Leone,Attended African Leaders Summit.,US State Dept Office of the Historian,2013,True,USIN-0005
2013-03-28,2013-03-28,President Macky Sall,Senegal,Attended African Leaders Summit.,US State Dept Office of the Historian,2013,True,USIN-0006
2013-03-28,2013-03-28,President Joyce Banda,Malawi,Attended African Leaders Summit.,US State Dept Office of the Historian,2013,True,USIN-0007
2013-03-28,2013-03-28,Prime Minister Jose Maria Pereira Neves,Cape Verde,Attended African Leaders Summit.,US State Dept Office of the Historian,2013,True,USIN-0008
2013-04-02,2013-04-03,Prime Minister Lee Hsien Loong,Singapore,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0009
2013-04-23,2013-04-23,Amir Hamad bin Khalifa al-Thani,Qatar,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0010
2013-04-24,2013-04-26,King Abdullah II,Jordan,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0011
2013-05-06,2013-05-08,President Park Geun-Hye,South Korea,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0012
2013-05-12,2013-05-13,Prime Minister David Cameron,United Kingdom,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0013
2013-05-14,2013-05-17,Prime Minister Recep Tayyip Erdoğan,Turkey,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0014
2013-05-19,2013-05-21,President Thein Sein,Burma,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0015
2013-06-02,2013-06-04,President Sebastian Pinera,Chile,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0016
2013-06-07,2013-06-08,President Xi Jinping,"China, People’s Republic of","Met with President Obama at Rancho Mirage, California.",US State Dept Office of the Historian,2013,True,USIN-0017
2013-06-10,2013-06-12,President Ollanta Humala,Peru,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0018
2013-07-24,2013-07-25,President Truong Tan Sang,Vietnam,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0019
2013-07-29,2013-08-01,President Abd Rabuh Mansur Hadi,Yemen,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0020
2013-08-08,2013-08-08,Prime Minister Antonios Samaras,Greece,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0021
2013-08-30,2013-08-30,President Toomas Ilves,Estonia,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0022
2013-08-30,2013-08-30,President Galia Grybauskaite,Lithuania,Working visit.,US State Dept Office of the Historian,2013,True,USIN-0023
