leader,start_date,end_date,destination_country,locale,details,source,country_leader,year,flags,aspi_comparable
Xi Jinping,2013-03-22,2013-03-24,Russia,Moscow,State visit; His first foreign trip as China's paramount leader and state representative. Met with President Vladimir Putin to discuss bilateral ties. Discussions of a new comprehensive strategic cooperation plan between China and Russia were held. Increased tourism cooperation and cultural ties were agreed upon.Met with Chairman of the State Duma Sergei Naryshkin to discuss enhancement of inter-p,Wikipedia,China,2013,diplomatic_engagement,True
Xi Jinping,2013-03-24,2013-03-25,Tanzania,Dar es Salaam,State visit; Met with President of Tanzania Jakaya Mrisho Kikwete to discuss bilateral ties. A joint communique was signed on boosting friendly cooperation between China and Tanzania.Met with President of Zanzibar Ali Mohamed Shein to discuss bilateral ties.,Wikipedia,China,2013,diplomatic_engagement,True
Xi Jinping,2013-03-25,2013-03-29,South Africa,"Pretoria, Durban",State visit and attendance to the 5th BRICS summit.,Wikipedia,China,2013,diplomatic_engagement,True
Xi Jinping,2013-03-29,2013-03-30,Republic of the Congo,Brazzaville,State visit; Met with President Denis Sassou Nguesso to discuss bilateral ties. Talks were held to improve cooperation between Chinese doctors and African health services.,Wikipedia,China,2013,diplomatic_engagement,True
Xi Jinping,2013-05-31,2013-06-02,Trinidad and Tobago,Port of Spain,Met with President of Trinidad and Tobago Anthony Carmona and Prime Minister of Trinidad and Tobago Kamla Persad-Bissessar to discuss bilateral ties.Met with Trinidad and Tobago Senate President Timothy Hamel-Smith and Speaker of the House Wade Mark to discuss increased legislative exchanges between China and Trinidad and Tobago.Met with President of Guyana Donald Ramotar to discuss bilateral ties,Wikipedia,China,2013,diplomatic_engagement,True
Xi Jinping,2013-06-02,2013-06-04,Costa Rica,San José,,Wikipedia,China,2013,,True
Xi Jinping,2013-06-04,2013-06-07,Mexico,Mexico City,,Wikipedia,China,2013,,True
Xi Jinping,2013-06-07,2013-06-09,United States,"Ontario, CaliforniaRancho Mirage, CaliforniaIndian Wells, CaliforniaPalm Springs, California","Hosted by President Barack Obama at Sunnylands Estate in California in a 'shirtsleeves summit' with U.S. President Barack Obama in June 2013, although this was not considered a formal state visit. Also met with California Governor Jerry Brown at Indian Wells and Palm Springs.",Wikipedia,China,2013,diplomatic_engagement,True
Xi Jinping,2013-09-03,2013-09-04,Turkmenistan,Ashgabat,Met and discussed bilateral ties with President Gurbanguly Berdymukhamedov. Agreements reached on promotion of energy cooperation between China and Turkmenistan.,Wikipedia,China,2013,diplomatic_engagement,True
Xi Jinping,2013-09-04,2013-09-06,Russia,Saint Petersburg,State visit and attendance to the 8th G20 summit.,Wikipedia,China,2013,diplomatic_engagement,True
Xi Jinping,2013-09-06,2013-09-07,Kazakhstan,Astana,,Wikipedia,China,2013,,True
Xi Jinping,2013-09-08,2013-09-09,Uzbekistan,Tashkent,,Wikipedia,China,2013,,True
Xi Jinping,2013-09-10,2013-09-13,Kyrgyzstan,Bishkek,State visit and attendance to the 13th meeting of the Shanghai Cooperation Organisation.,Wikipedia,China,2013,diplomatic_engagement,True
Xi Jinping,2013-10-02,2013-10-02,Indonesia,Jakarta,,Wikipedia,China,2013,,True
Xi Jinping,2013-10-03,2013-10-05,Malaysia,Kuala Lumpur,,Wikipedia,China,2013,,True
Xi Jinping,2013-10-05,2013-10-08,Indonesia,Bali,Attendance to the APEC Indonesia 2013.,Wikipedia,China,2013,,True
Xi Jinping,2014-02-06,2014-02-08,Russia,Sochi,Attendance to the opening ceremony of the 2014 Winter Olympics.,Wikipedia,China,2014,,True
Xi Jinping,2014-03-22,2014-03-25,Netherlands,"Amsterdam, The Hague",State visit and attendance to the 3rd Nuclear Security Summit.,Wikipedia,China,2014,diplomatic_engagement,True
Xi Jinping,2014-03-25,2014-03-27,France,Lyon,,Wikipedia,China,2014,,True
Xi Jinping,2014-03-27,2014-03-29,Germany,Berlin,,Wikipedia,China,2014,,True
